id,category,neighborhood,latitude,longitude,date
2025-00002,Air Pollution,Adams-Normandie,34.037314,-118.300686,2024-06-07
2025-00001,Illegal Dumping,Adams-Normandie,34.037314,-118.300686,2024-08-17
2025-00003,Illegal Dumping,Adams-Normandie,34.037314,-118.300686,2024-11-07
2025-00008,Noise,Arleta,34.264122,-118.442546,2024-01-08
2025-00025,Water Waste,Arleta,34.264122,-118.442546,2024-01-17
2025-00024,Water Waste,Arleta,34.264122,-118.442546,2024-02-06
2025-00011,Water Waste,Arleta,34.264122,-118.442546,2024-03-02
2025-00018,Water Waste,Arleta,34.264122,-118.442546,2024-03-14
2025-00004,Air Pollution,Arleta,34.264122,-118.442546,2024-04-02
2025-00026,Water Waste,Arleta,34.264122,-118.442546,2024-04-10
2025-00010,Illegal Dumping,Arleta,34.264122,-118.442546,2024-05-23
2025-00027,Illegal Dumping,Arleta,34.264122,-118.442546,2024-06-24
2025-00021,Water Waste,Arleta,34.264122,-118.442546,2024-07-10
2025-00005,Illegal Dumping,Arleta,34.264122,-118.442546,2024-07-11
2025-00007,Air Pollution,Arleta,34.264122,-118.442546,2024-07-13
2025-00013,Water Waste,Arleta,34.264122,-118.442546,2024-07-24
2025-00017,Water Waste,Arleta,34.264122,-118.442546,2024-08-05
2025-00019,Water Waste,Arleta,34.264122,-118.442546,2024-08-19
2025-00022,Air Pollution,Arleta,34.264122,-118.442546,2024-09-18
2025-00009,Illegal Dumping,Arleta,34.264122,-118.442546,2024-10-10
2025-00006,Noise,Arleta,34.264122,-118.442546,2024-10-12
2025-00016,Illegal Dumping,Arleta,34.264122,-118.442546,2024-10-29
2025-00014,Illegal Dumping,Arleta,34.264122,-118.442546,2024-11-10
2025-00015,Noise,Arleta,34.264122,-118.442546,2024-11-15
2025-00012,Illegal Dumping,Arleta,34.264122,-118.442546,2024-11-27
2025-00020,Air Pollution,Arleta,34.264122,-118.442546,2024-12-14
2025-00023,Water Waste,Arleta,34.264122,-118.442546,2024-12-26
2025-00029,Air Pollution,Arlington Heights,34.053060,-118.318623,2024-01-31
2025-00036,Air Pollution,Arlington Heights,34.053060,-118.318623,2024-02-15
